8811,0.0000904,1,"[[6522, 0.97973115855714143], [1394, 0.97795862150740365], [3678, 0.97750761214990423], [8773, 0.9772816775301999], [7086, 0.97266329196575263], [5108, 0.97198767557485943], [1562, 0.97172532893274977], [1894, 0.96914803674261063], [5664, 0.96748086012842294], [2990, 0.96682994554152701]]"
8812,0.000117836,N/A,"[[3552, 0.97434872071763612], [1775, 0.96205265208608204], [3669, 0.96127484712538425], [2286, 0.94770760881022864], [7374, 0.94536503806336358], [8001, 0.94446941516980254], [1753, 0.94089906685249403], [5202, 0.9381820996803486], [5382, 0.93029391758787139], [6550, 0.93026779111341695]]"
8813,0.000117836,2,"[[8002, 0.99744725720074567], [761, 0.99686469357787844], [1747, 0.99662955922450647], [8125, 0.99655016399997798], [8965, 0.99629565786399155], [6528, 0.9957291910023004], [7953, 0.99570347418295124], [8240, 0.99565524582954357], [5514, 0.99520774504560139], [8400, 0.99495968952862712]]"
8814,0.000117836,2,"[[6557, 0.99214856699974696], [5014, 0.99131974116146659], [3453, 0.99103297987260053], [8154, 0.99060179904921486], [9048, 0.98995239918499567], [6276, 0.9899033505121958], [790, 0.98970367758765165], [8010, 0.98925887703388271], [6591, 0.98884695047354154], [9098, 0.98878611881887157]]"
8815,0.000117836,24,"[[3675, 0.99908495965115418], [8872, 0.99851675329026168], [4783, 0.99838697284545763], [4918, 0.99799030980506043], [3093, 0.99783068279017917], [8481, 0.99773918084316393], [2804, 0.99733320791910862], [8290, 0.99710722047737677], [3964, 0.99692785231780034], [8349, 0.99665126310443919]]"
8816,0.0000464,N/A,"[[8562, 0.98886119413430151], [1493, 0.97962795439994532], [5605, 0.97935887718685799], [8378, 0.97766874508031476], [5469, 0.97245174013680624], [6756, 0.96668179187363057], [5631, 0.96342396606085101], [7992, 0.96230518592056957], [2266, 0.95990448663453132], [9094, 0.95498268315466173]]"
8817,0.000108173,80,"[[5096, 0.98995407361187104], [3563, 0.98919690904556057], [1781, 0.98867302957789793], [1314, 0.98716854079566652], [5217, 0.98563065904835345], [6715, 0.98545453427140106], [9292, 0.98495412969911689], [4772, 0.98483440206584971], [2861, 0.98475015325218307], [6638, 0.98419992698877723]]"
8818,0.000108173,73,"[[7304, 0.99302556602279268], [5627, 0.99301303422278242], [9333, 0.99196480625247851], [9144, 0.99139920648447244], [6721, 0.99052877869829159], [7271, 0.9904210438480141], [2881, 0.99039986226967813], [8631, 0.99015701415717583], [8417, 0.98726822829423577], [7531, 0.98724187960153575]]"
8819,0.000108173,N/A,"[[1446, 0.98248821644503426], [2801, 0.97635190768605518], [5552, 0.97286486864170074], [1183, 0.96633402698246029], [9005, 0.96523571512863515], [7429, 0.9650182436797371], [3976, 0.96441810796536753], [1735, 0.96144008073880449], [3901, 0.96137863612905428], [8717, 0.95896751366384103]]"
882,0.0000998,N/A,"[[3817, 0.98581833102625305], [2019, 0.96707559051345271], [4858, 0.95827181061212841], [871, 0.95461023461279682], [1542, 0.9442659898124991], [6732, 0.94290718059977663], [2234, 0.94288051057296218], [5163, 0.94061375049515694], [3350, 0.93942225765806564], [2243, 0.93739713218628451]]"
8820,0.000117836,18,"[[7335, 0.992543788212775], [5576, 0.99191150568041031], [1251, 0.9913718679886464], [4682, 0.99081725374575991], [7333, 0.98993769695858658], [1232, 0.98959729481810954], [8402, 0.98937014919097843], [4920, 0.98921785557589847], [6448, 0.98786227846347552], [9295, 0.98734004673213105]]"
8821,0.000117836,15,"[[3304, 0.99912859300275314], [3383, 0.99745588145737829], [8594, 0.99697629146721312], [4262, 0.99662233878662709], [2893, 0.99636411545905434], [8161, 0.99619173671991479], [8702, 0.99612907031742892], [6653, 0.99592050438929103], [3630, 0.99567301816681375], [9225, 0.99549795258406304]]"
8822,0.0000772,N/A,"[[724, 0.98864882382104224], [422, 0.98287663366740496], [388, 0.981880007232104], [907, 0.97678655113471824], [1331, 0.97486486701820307], [3965, 0.97360376793309322], [5662, 0.9732044168703573], [766, 0.97296145677993884], [3839, 0.97221838670960203], [2438, 0.97211435135638746]]"
8823,0.0000312,N/A,"[[7640, 0.97744171515994382], [3406, 0.9599697552189137], [6705, 0.95725692529806539], [457, 0.95675662985491072], [9025, 0.95635652053120512], [8722, 0.95355285205025253], [4849, 0.95292589197640376], [758, 0.95266980310209082], [3148, 0.95040717962778742], [1469, 0.94410311786124357]]"
8824,0.0000998,N/A,"[[8057, 0.98531445453506417], [7653, 0.97629996168961997], [8180, 0.9746784956393244], [4878, 0.97193021327327989], [4475, 0.9675627993734105], [6276, 0.96707942891902909], [101, 0.96399425312594611], [7138, 0.9635170088731051], [8608, 0.96267731565928738], [8021, 0.95863832210677558]]"
8825,0.0000998,5,"[[7748, 0.99818265091279623], [4596, 0.99608959580181611], [5160, 0.99545394538141929], [4003, 0.99545394538141929], [1721, 0.99545394538141929], [4165, 0.99545394538141929], [2544, 0.99545394538141929], [3316, 0.99545394538141929], [664, 0.99545394538141929], [8472, 0.99545394538141929]]"
8826,0.0000998,N/A,"[[3470, 0.99961254802947308], [436, 0.99866207720489375], [9129, 0.9978303669237546], [1611, 0.99694208622511649], [1496, 0.99694208622511638], [7016, 0.99694208622511638], [8452, 0.99656673946894803], [5466, 0.99645692457282087], [5083, 0.99625430673273885], [1481, 0.99528716906849557]]"
8827,0.0000532,N/A,"[[8240, 0.9910912327350212], [6324, 0.98805296671703147], [8718, 0.97971290552115275], [4722, 0.97835811018332053], [8739, 0.9776816792195494], [6363, 0.97680382528615228], [2321, 0.97548872297980627], [4959, 0.97375860985785179], [527, 0.97047454280998247], [3245, 0.9687242902619293]]"
8828,0.0000363,12,"[[2998, 0.97258432773169479], [4128, 0.96085331432536147], [6475, 0.95926631595066725], [4206, 0.95747203394708325], [2108, 0.95444816766052276], [8259, 0.95356643511248873], [6634, 0.95300615046259241], [3780, 0.95196805076657387], [5460, 0.94754894340865825], [2828, 0.94700272704551292]]"
8829,0.000039,1,"[[3243, 0.98779053753820667], [6604, 0.98694582295165789], [9104, 0.97854736907780981], [4031, 0.97304381899276471], [9151, 0.96535723674780716], [8414, 0.96379820895772406], [9047, 0.96301855332278541], [6666, 0.9630180331741558], [4600, 0.96223830675425692], [6667, 0.96008958648970588]]"
883,0.0000998,N/A,"[[2417, 0.9991231205105191], [6729, 0.9986841164540341], [628, 0.99856250462728857], [1393, 0.99852894847976825], [8412, 0.99766261740901752], [3407, 0.99746190108647337], [8346, 0.99740985286583739], [6417, 0.99706538486395258], [3930, 0.99656650986484197], [2936, 0.99602777617892679]]"
8830,0.0000924,21,"[[2675, 0.9644194938325652], [3896, 0.95681794514002949], [4858, 0.95649310514602925], [5303, 0.95570013039583235], [2784, 0.95523362732034234], [4573, 0.95466149172332559], [2848, 0.95127195443303292], [2678, 0.95061022510552196], [6801, 0.95055767458461204], [9240, 0.94931236727274004]]"
8831,0.0000924,3,"[[7399, 0.97640183767425537], [9251, 0.96808745043965416], [1922, 0.96117332639610942], [7389, 0.96005570904309456], [626, 0.95879922697588127], [7463, 0.95648937169360959], [8644, 0.95587385243694944], [8645, 0.95487932827216271], [4265, 0.95392636836649547], [895, 0.95244648819932265]]"
8832,0.000117836,1,"[[3902, 0.97320785681157551], [5278, 0.96341860268804635], [9153, 0.96232717341034102], [8193, 0.95731014799216019], [1542, 0.95667488580078686], [7192, 0.95448566499544341], [7836, 0.95188893175269096], [3959, 0.94636024759015958], [7488, 0.94530068329797123], [8086, 0.94208954138760881]]"
8833,0.000117836,30,"[[7878, 0.99795475933678701], [7874, 0.99753167795387321], [8463, 0.99700485896322066], [8315, 0.99686933558509727], [1820, 0.99638109858903767], [7867, 0.99631203772087285], [6818, 0.99625208427294221], [9164, 0.99595852033985777], [8885, 0.99548690860882871], [7615, 0.99546858252991532]]"
8834,0.0000902,6,"[[4366, 0.98048015483061624], [8867, 0.97969971515235832], [4385, 0.97891100290464228], [4562, 0.9779691304875], [5471, 0.97756043928139602], [3596, 0.97654159477170444], [8336, 0.9739513350363258], [6540, 0.97145799045814485], [2016, 0.97128932657539735], [7672, 0.97120787736987979]]"
8835,0.0000965,N/A,"[[3301, 0.99995736174093697], [3067, 0.99992969976891954], [5293, 0.9999269574560431], [5376, 0.99986455772498262], [3737, 0.99943940632094108], [5579, 0.9994219459174668], [9229, 0.99939201767027841], [1150, 0.99916373822687532], [2507, 0.99907619834785888], [5432, 0.99896688700686165]]"
8836,0.0000424,N/A,"[[2309, 0.99466045131276737], [6950, 0.99373018172303273], [6572, 0.99194755589902384], [8, 0.98676132254403059], [8669, 0.98450634434148421], [1404, 0.98359054029292636], [2729, 0.98318635568463664], [3356, 0.98163918467820144], [5479, 0.98100650130204181], [7858, 0.97959390534893065]]"
8837,0.000117836,6,"[[3932, 0.94800776712931012], [8533, 0.940612086954698], [5209, 0.92260304078868205], [6737, 0.9134048677168336], [5061, 0.91023826712912936], [6614, 0.90922419620292672], [4509, 0.90904780097803928], [3288, 0.90723026839581677], [117, 0.90602198518164268], [5516, 0.90247197872142537]]"
8838,0.000117836,34,"[[1551, 0.96328157357368271], [7721, 0.96224901244810002], [4911, 0.96022550401381168], [7541, 0.95927374846488378], [907, 0.9553635987500384], [7930, 0.95332855579703413], [3614, 0.95296559410675752], [5015, 0.9447261211800333], [4221, 0.94213954258306221], [3146, 0.94101546005914694]]"
8839,0.000117836,42,"[[4132, 0.98561345860178262], [7933, 0.97946584523049629], [8044, 0.9762853767753279], [6620, 0.97310753003335115], [3481, 0.97259726137179014], [3282, 0.96732789466356506], [5003, 0.96496578093403362], [7610, 0.96441779211565704], [3378, 0.96283684845217576], [7175, 0.96225675002178479]]"
884,0.0000177,2,"[[1155, 0.99046228351604326], [186, 0.98808604988572213], [92, 0.98807893891964815], [869, 0.97986937860180623], [7777, 0.97983483535507132], [1284, 0.97717106086724626], [87, 0.97587313361475869], [13, 0.97522342551578145], [258, 0.97416930452739958], [2352, 0.9739841241991577]]"
8840,0.0000177,32,"[[949, 0.98789063534466526], [3604, 0.98767498412916732], [4613, 0.98293386137319883], [2010, 0.98224849136566794], [2383, 0.97808605871984877], [1905, 0.97257496172262936], [5473, 0.97241583599601811], [5392, 0.96708333891929776], [1843, 0.96568907486587818], [3, 0.96499873301375738]]"
8841,0.0000714,96,"[[1193, 0.99892130078548014], [420, 0.99479521013867467], [4226, 0.99461240749294855], [1614, 0.99301798791676921], [677, 0.99261946207846474], [442, 0.99194421395567678], [25, 0.99165286021992916], [6916, 0.99144040811737866], [2079, 0.99141732960153006], [148, 0.99128110634130373]]"
8842,0.0000855,2,"[[4550, 0.99898595931513046], [950, 0.99816323221240133], [7941, 0.998034294988693], [8311, 0.99787117113507562], [2590, 0.9975534058832729], [3949, 0.99746162041120578], [2161, 0.99733854460766769], [4780, 0.99723295059373429], [3001, 0.99722016786552747], [2193, 0.99721773849616469]]"
8843,0.000152416,11,"[[7087, 0.95460647886945715], [3496, 0.95256985843668429], [7066, 0.94548473131326394], [6600, 0.9172167525649958], [2859, 0.90989110773446835], [2401, 0.90725686630832858], [2468, 0.90686116958158369], [4072, 0.90427715244664453], [6780, 0.90040700389896133], [2631, 0.89416081953410276]]"
8844,0.000152416,9,"[[3987, 0.93653132105452863], [4022, 0.93255568397695976], [6602, 0.93075860478721328], [8187, 0.92748390381473922], [6780, 0.9214921835220955], [8997, 0.91837529718632149], [6389, 0.9175646133755504], [4911, 0.91741517026677633], [3068, 0.91446012703753388], [5498, 0.9113665459555621]]"
8845,0.000117836,20,"[[3121, 0.99156543230395666], [9316, 0.99156543230395644], [3277, 0.98882024073771757], [8376, 0.98853475908368649], [3776, 0.9846349503998888], [3251, 0.98374349029746833], [4164, 0.98373541750482729], [2899, 0.98254575291713453], [5341, 0.98097642146435393], [5482, 0.97759922272578237]]"
